Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port 1073		Ouvert
Port 2562		Ouvert
Port 2592		Ouvert
Port 3831		Ouvert
Port 3821		Ouvert
Port 3811		Ouvert
Port 1054		Ouvert
Port 2572		Ouvert
Port 3841		Ouvert
Port 1044		Ouvert
Port 3851		Ouvert
Port 2602		Ouvert
Port 2612		Ouvert
Port 3871		Ouvert
Port 3861		Ouvert
Port 169		Ouvert
Port 3891		Ouvert
Port 3881		Ouvert
Port 1112		Ouvert
Port 3901		Ouvert
Port 1084		Ouvert
Port 825		Ouvert
Port 1632		Ouvert
Port 1623		Ouvert
Port 1672		Ouvert
Port 3921		Ouvert
Port 3911		Ouvert
Port 2622		Ouvert
Port 3931		Ouvert
Port 3941		Ouvert
Port 1643		Ouvert
Port 3981		Ouvert
Port 1682		Ouvert
Port 3961		Ouvert
Port 2632		Ouvert
Port 2642		Ouvert
Port 3951		Ouvert
Port 444		Ouvert
Port 2682		Ouvert
Port 4001		Ouvert
Port 3971		Ouvert
Port 4021		Ouvert
Port 3991		Ouvert
Port 4011		Ouvert
Port 4041		Ouvert
Port 4031		Ouvert
Port 1702		Ouvert
Port 4071		Ouvert
Port 1133		Ouvert
Port 4051		Ouvert
Port 333		Ouvert
Port 4111		Ouvert
Port 1142		Ouvert
Port 4101		Ouvert
Port 4091		Ouvert
Port 4081		Ouvert
Port 4061		Ouvert
Port 4121		Ouvert
Port 426		Ouvert
Port 287		Ouvert
Port 4131		Ouvert
Port 4141		Ouvert
Port 635		Ouvert
Port 1153		Ouvert
Port 4151		Ouvert
Port 1742		Ouvert
Port 4161		Ouvert
Port 1163		Ouvert
Port 4181		Ouvert
Port 2742		Ouvert
Port 4171		Ouvert
Port 316		Ouvert
Port 4191		Ouvert
Port 55		Ouvert
Port 4201		Ouvert
Port 2762		Ouvert
Port 855		Ouvert
Port 4211		Ouvert
Port 1762		Ouvert
Port 4231		Ouvert
Port 2772		Ouvert
Port 4241		Ouvert
Port 4221		Ouvert
Port 2782		Ouvert
Port 4251		Ouvert
Port 4271		Ouvert
Port 4281		Ouvert
Port 4261		Ouvert
Port 865		Ouvert
Port 1812		Ouvert
Port 2792		Ouvert
Port 2802		Ouvert
Port 4291		Ouvert
Port 1823		Ouvert
Port 196		Ouvert
Port 4301		Ouvert
Port 1194		Ouvert
Port 1222		Ouvert
Port 4321		Ouvert
Port 873		Ouvert
Port 4331		Ouvert
Port 4311		Ouvert
Port 1873		Ouvert
Port 4341		Ouvert
Port 4351		Ouvert
Port 4361		Ouvert
Port 1863		Ouvert
Port 2832		Ouvert
Port 654		Ouvert
Port 4371		Ouvert
Port 4401		Ouvert
Port 1883		Ouvert
Port 4391		Ouvert
Port 1893		Ouvert
Port 4411		Ouvert
Port 4381		Ouvert
Port 77		Ouvert
Port 2882		Ouvert
Port 4441		Ouvert
Port 2872		Ouvert
Port 4461		Ouvert
Port 2862		Ouvert
Port 4421		Ouvert
Port 4451		Ouvert
Port 2922		Ouvert
Port 30		Ouvert
Port 2912		Ouvert
Port 4471		Ouvert
Port 1253		Ouvert
Port 4431		Ouvert
Port 4491		Ouvert
Port 4511		Ouvert
Port 4521		Ouvert
Port 4481		Ouvert
Port 1923		Ouvert
Port 1283		Ouvert
Port 4501		Ouvert
Port 2962		Ouvert
Port 1913		Ouvert
Port 4531		Ouvert
Port 4541		Ouvert
Port 4551		Ouvert
Port 664		Ouvert
Port 2952		Ouvert
Port 1933		Ouvert
Port 4561		Ouvert
Port 4571		Ouvert
Port 2992		Ouvert
Port 324		Ouvert
Port 4591		Ouvert
Port 4601		Ouvert
Port 46		Ouvert
Port 4581		Ouvert
Port 1963		Ouvert
Port 3002		Ouvert
Port 4621		Ouvert
Port 4631		Ouvert
Port 4611		Ouvert
Port 933		Ouvert
Port 2003		Ouvert
Port 3022		Ouvert
Port 255		Ouvert
Port 1294		Ouvert
Port 4641		Ouvert
Port 4651		Ouvert
Port 3012		Ouvert
Port 4661		Ouvert
Port 4701		Ouvert
Port 4671		Ouvert
Port 2013		Ouvert
Port 674		Ouvert
Port 4681		Ouvert
Port 4721		Ouvert
Port 4691		Ouvert
Port 4711		Ouvert
Port 1323		Ouvert
Port 4731		Ouvert
Port 513		Ouvert
Port 3052		Ouvert
Port 4761		Ouvert
Port 1333		Ouvert
Port 4741		Ouvert
Port 4751		Ouvert
Port 4771		Ouvert
Port 4781		Ouvert
Port 695		Ouvert
Port 1352		Ouvert
Port 4791		Ouvert
Port 2033		Ouvert
Port 20		Ouvert
Port 4801		Ouvert
Port 3082		Ouvert
Port 3092		Ouvert
Port 4821		Ouvert
Port 2053		Ouvert
Port 4811		Ouvert
Port 723		Ouvert
Port 2062		Ouvert
Port 3122		Ouvert
Port 525		Ouvert
Port 4831		Ouvert
Port 4851		Ouvert
Port 4861		Ouvert
Port 4841		Ouvert
Port 4871		Ouvert
Port 267		Ouvert
Port 534		Ouvert
Port 4881		Ouvert
Port 3142		Ouvert
Port 4891		Ouvert
Port 962		Ouvert
Port 4901		Ouvert
Port 4931		Ouvert
Port 3162		Ouvert
Port 4941		Ouvert
Port 4911		Ouvert
Port 4921		Ouvert
Port 4951		Ouvert
Port 4961		Ouvert
Port 4971		Ouvert
Port 3172		Ouvert
Port 4981		Ouvert
Port 734		Ouvert
Port 1402		Ouvert
Port 4991		Ouvert
Port 1393		Ouvert
Port 5021		Ouvert
Port 5011		Ouvert
Port 5001		Ouvert
