Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.311685	Port 318	Fermé
2023-04-12 14:26:37.311720	Port 319	Fermé
2023-04-12 14:26:37.311759	Port 320	Fermé
2023-04-12 14:26:37.311793	Port 321	Fermé
2023-04-12 14:26:37.311827	Port 322	Fermé
2023-04-12 14:26:37.311862	Port 323	Fermé
2023-04-12 14:26:37.311895	Port 324	Fermé
2023-04-12 14:26:37.311929	Port 325	Fermé
2023-04-12 14:26:37.311963	Port 326	Fermé
2023-04-12 14:26:37.311997	Port 327	Fermé
2023-04-12 14:26:37.312031	Port 328	Fermé
2023-04-12 14:26:37.312064	Port 329	Fermé
2023-04-12 14:26:37.312097	Port 330	Fermé
2023-04-12 14:26:37.312131	Port 331	Fermé
2023-04-12 14:26:37.312165	Port 332	Fermé
2023-04-12 14:26:37.312199	Port 333	Fermé
2023-04-12 14:26:37.312234	Port 334	Fermé
2023-04-12 14:26:37.312269	Port 335	Fermé
2023-04-12 14:26:37.312304	Port 336	Fermé
2023-04-12 14:26:37.312338	Port 337	Fermé
2023-04-12 14:26:37.312371	Port 338	Fermé
2023-04-12 14:26:37.312405	Port 339	Fermé
2023-04-12 14:26:37.312439	Port 340	Fermé
2023-04-12 14:26:37.312472	Port 341	Fermé
2023-04-12 14:26:37.312506	Port 342	Fermé
2023-04-12 14:26:37.312540	Port 343	Fermé
2023-04-12 14:26:37.312577	Port 344	Fermé
2023-04-12 14:26:37.312611	Port 345	Fermé
2023-04-12 14:26:37.312721	Port 346	Fermé
2023-04-12 14:26:37.312761	Port 347	Fermé
2023-04-12 14:26:37.312796	Port 348	Fermé
2023-04-12 14:26:37.312837	Port 349	Fermé
2023-04-12 14:26:37.312876	Port 350	Fermé
2023-04-12 14:26:37.312914	Port 351	Fermé
2023-04-12 14:26:37.312954	Port 352	Fermé
2023-04-12 14:26:37.312993	Port 353	Fermé
2023-04-12 14:26:37.313033	Port 354	Fermé
2023-04-12 14:26:37.313073	Port 355	Fermé
2023-04-12 14:26:37.313112	Port 356	Fermé
2023-04-12 14:26:37.313151	Port 357	Fermé
2023-04-12 14:26:37.313189	Port 358	Fermé
2023-04-12 14:26:37.313227	Port 359	Fermé
2023-04-12 14:26:37.313266	Port 360	Fermé
2023-04-12 14:26:37.313320	Port 361	Fermé
2023-04-12 14:26:37.313376	Port 362	Fermé
2023-04-12 14:26:37.313435	Port 363	Fermé
2023-04-12 14:26:37.313497	Port 364	Fermé
2023-04-12 14:26:37.313592	Port 365	Fermé
2023-04-12 14:26:37.313657	Port 366	Fermé
2023-04-12 14:26:37.313714	Port 367	Fermé
2023-04-12 14:26:37.313766	Port 368	Fermé
2023-04-12 14:26:37.313814	Port 369	Fermé
2023-04-12 14:26:37.313862	Port 370	Fermé
2023-04-12 14:26:37.313918	Port 371	Fermé
2023-04-12 14:26:37.313970	Port 372	Fermé
2023-04-12 14:26:37.314021	Port 373	Fermé
2023-04-12 14:26:37.314089	Port 374	Fermé
2023-04-12 14:26:37.314152	Port 375	Fermé
2023-04-12 14:26:37.314254	Port 376	Fermé
2023-04-12 14:26:37.314334	Port 377	Fermé
2023-04-12 14:26:37.314386	Port 378	Fermé
2023-04-12 14:26:37.314435	Port 379	Fermé
2023-04-12 14:26:37.314482	Port 380	Fermé
2023-04-12 14:26:37.314530	Port 381	Fermé
2023-04-12 14:26:37.314578	Port 382	Fermé
2023-04-12 14:26:37.314627	Port 383	Fermé
2023-04-12 14:26:37.314694	Port 384	Fermé
2023-04-12 14:26:37.314767	Port 385	Fermé
2023-04-12 14:26:37.314823	Port 386	Fermé
2023-04-12 14:26:37.314880	Port 387	Fermé
2023-04-12 14:26:37.314957	Port 388	Fermé
2023-04-12 14:26:37.315031	Port 389	Fermé
2023-04-12 14:26:37.315105	Port 390	Fermé
2023-04-12 14:26:37.315165	Port 391	Fermé
2023-04-12 14:26:37.315232	Port 392	Fermé
2023-04-12 14:26:37.315295	Port 393	Fermé
2023-04-12 14:26:37.315354	Port 394	Fermé
2023-04-12 14:26:37.315413	Port 395	Fermé
2023-04-12 14:26:37.315474	Port 396	Fermé
2023-04-12 14:26:37.315534	Port 397	Fermé
2023-04-12 14:26:37.315593	Port 398	Fermé
2023-04-12 14:26:37.315669	Port 399	Fermé
2023-04-12 14:26:37.315731	Port 400	Fermé
2023-04-12 14:26:37.315792	Port 401	Fermé
2023-04-12 14:26:37.315857	Port 402	Fermé
2023-04-12 14:26:37.315996	Port 403	Fermé
2023-04-12 14:26:37.316060	Port 404	Fermé
2023-04-12 14:26:37.316123	Port 405	Fermé
2023-04-12 14:26:37.316183	Port 406	Fermé
2023-04-12 14:26:37.316242	Port 407	Fermé
2023-04-12 14:26:37.316307	Port 408	Fermé
2023-04-12 14:26:37.316366	Port 409	Fermé
2023-04-12 14:26:37.316424	Port 410	Fermé
2023-04-12 14:26:37.316483	Port 411	Fermé
2023-04-12 14:26:37.316543	Port 412	Fermé
2023-04-12 14:26:37.316601	Port 413	Fermé
2023-04-12 14:26:37.316671	Port 414	Fermé
2023-04-12 14:26:37.316727	Port 415	Fermé
2023-04-12 14:26:37.316802	Port 416	Fermé
